year,importer1,importer2,flow1,flow2
2005,"Switzerland","Austria",5798.26,5742.05
2005,"Switzerland","China",4060.59,7146.79
2005,"Switzerland","Germany",39939.9,29263.3
2005,"Switzerland","Italy",13275.5,11637.9
2005,"Switzerland","Japan",2343.53,5035.99
2005,"Switzerland","Other Trade",14821.93,39064.98
2005,"Switzerland","South Korea",601.92,1170.13
2005,"Switzerland","Spain",3198.23,4320.67
2005,"Switzerland","Taiwan",285.1021,1336.448
2005,"Taiwan","Japan",45940.44,14480.68
2005,"Taiwan","Other Trade",27299.37,32116.05
2005,"Taiwan","South Korea",13203.48,5574.926
2005,"United Kingdom","Austria",3493.23,2818.05
2005,"United Kingdom","Belgium",22389.2,21658.8
2005,"United Kingdom","China",36123.07,11219.56
2005,"United Kingdom","France",34390.6,29782.6
2005,"United Kingdom","Germany",61932,48927.3
2005,"United Kingdom","Italy",19526.2,15529.4
2005,"United Kingdom","Japan",15917.6,6711.33
2005,"United Kingdom","Netherlands",31764.9,21215.3
2005,"United Kingdom","Other Trade",152744.4,119955.3
2005,"United Kingdom","South Korea",5605.09,3149.07
2005,"United Kingdom","Spain",15518.5,16825.4
2005,"United Kingdom","Switzerland",7300.27,5582.32
2005,"United Kingdom","Taiwan",3200.212,1691.948
2005,"United States","Austria",6312.4,2831.27
2005,"United States","Belgium",13399.1,17070.2
2005,"United States","Canada",291944,195151
2005,"United States","China",270460.7,65476.34
2005,"United States","France",34774.3,25488.6
2005,"United States","Germany",86937.6,51367.2
2005,"United States","Italy",32418.9,13359.7
2005,"United States","Japan",141950,65446.9
2005,"United States","Mexico",172485,130402
2005,"United States","Netherlands",15503.1,27537.2
2005,"United States","Other Trade",505039.1,257544.8
2005,"United States","South Korea",45522.8,30787.6
2005,"United States","Spain",9127.8,7638.25
2005,"United States","Switzerland",13482.5,7086.42
2005,"United States","Taiwan",28510.23,20987.78
2005,"United States","United Kingdom",52380.3,41867.8
