year,importer1,importer2,flow1,flow2
2000,All Other Trade,All Other Trade,571.74,4554.38
2000,All Other Trade,All Other Trade,2348.66,2770.56
2000,All Other Trade,All Other Trade,2293.79,2747.75
2000,All Other Trade,All Other Trade,3089.8,1939.78
2000,All Other Trade,All Other Trade,3087.14,1929.69
2000,All Other Trade,All Other Trade,2637.03,2300.95
2000,All Other Trade,All Other Trade,3293.6,1643.43
2000,All Other Trade,All Other Trade,1181.59,3745.67
2000,All Other Trade,All Other Trade,981.5,3939.33
2000,All Other Trade,All Other Trade,1145.59,3767.36
2000,All Other Trade,All Other Trade,2151.06,2728.58
2000,All Other Trade,All Other Trade,2001.11,2857.9
2000,All Other Trade,All Other Trade,2615.83,2229.43
2000,All Other Trade,All Other Trade,2743.8,2076.43
2000,All Other Trade,All Other Trade,943.96,3876.14
2000,All Other Trade,All Other Trade,2357.18,2454.71
2000,All Other Trade,All Other Trade,2519.01,2285.3
2000,All Other Trade,All Other Trade,2387.49,2373.39
2000,All Other Trade,All Other Trade,3015.021,1733.591
2000,All Other Trade,All Other Trade,3347.62,1363.33
2000,All Other Trade,All Other Trade,4116.9,581.19
2000,All Other Trade,All Other Trade,1538.84,3153.7
2000,All Other Trade,All Other Trade,1599.51,3072.82
2000,All Other Trade,All Other Trade,2298.32,2364.28
2000,All Other Trade,All Other Trade,2636.7,2015.6
2000,All Other Trade,All Other Trade,2197.18,2439.23
2000,All Other Trade,All Other Trade,3303.43,1328.37
2000,All Other Trade,All Other Trade,894.7,3728.89
2000,All Other Trade,All Other Trade,2185.5,2425.21
2000,All Other Trade,All Other Trade,2075.29,2525.3
2000,All Other Trade,All Other Trade,3337.88,1251.27
2000,All Other Trade,All Other Trade,1814.75,2754.45
2000,All Other Trade,All Other Trade,3173.7,1356.46
2000,All Other Trade,All Other Trade,2368.14,2161.34
2000,All Other Trade,All Other Trade,2725.76,1776.66
2000,All Other Trade,All Other Trade,160.48,4338.29
2000,All Other Trade,All Other Trade,4059.42,377.95
2000,All Other Trade,All Other Trade,1760.87,2673.2
2000,All Other Trade,All Other Trade,1952.5,2475.8
2000,All Other Trade,All Other Trade,2183.54,2187.55
2000,All Other Trade,All Other Trade,3629.97,737.95
2000,All Other Trade,All Other Trade,3679.05,676.2
2000,All Other Trade,All Other Trade,2403.22,1946.66
2000,All Other Trade,All Other Trade,1610.56,2714.6
2000,All Other Trade,All Other Trade,1193.67,3104.32
2000,All Other Trade,All Other Trade,2378.87,1912.78
2000,All Other Trade,All Other Trade,1592.77,2693.08
2000,All Other Trade,All Other Trade,1071.75,3209.48
2000,All Other Trade,All Other Trade,348.25,3886.58
2000,All Other Trade,All Other Trade,2125.48,2067.9
2000,All Other Trade,All Other Trade,2677.45,1478.09
2000,All Other Trade,All Other Trade,958.31,3193.11
2000,All Other Trade,All Other Trade,1871.67,2246.65
2000,All Other Trade,All Other Trade,3228.7,866.3
2000,All Other Trade,All Other Trade,2112.9,1982.03
2000,All Other Trade,All Other Trade,1779.41,2284.46
2000,All Other Trade,All Other Trade,1911.58,2138.44
2000,All Other Trade,All Other Trade,2235.84,1780.1
2000,All Other Trade,All Other Trade,1549.41,2454.17
2000,All Other Trade,All Other Trade,1395.22,2603.96
2000,All Other Trade,All Other Trade,2407.1,1575.06
2000,All Other Trade,All Other Trade,2143.75,1834.01
2000,All Other Trade,All Other Trade,2570.48,1353.37
2000,All Other Trade,All Other Trade,3274.19,637.38
2000,All Other Trade,All Other Trade,2968.1,892.54
2000,All Other Trade,All Other Trade,3613.6,240.9
2000,All Other Trade,All Other Trade,1930.79,1922.98
2000,All Other Trade,All Other Trade,2795.8,1045.54
2000,All Other Trade,All Other Trade,1737.04,2100.08
2000,All Other Trade,All Other Trade,1630.92,2165.18
2000,All Other Trade,All Other Trade,0,3788.6
2000,All Other Trade,All Other Trade,2194.48,1572.12
2000,All Other Trade,All Other Trade,2532,1223.7
2000,All Other Trade,All Other Trade,2074.44,1637.86
2000,All Other Trade,All Other Trade,2669.34,978.78
2000,All Other Trade,All Other Trade,2392.61,1224.71
2000,All Other Trade,All Other Trade,1407.37,2179.92
2000,All Other Trade,All Other Trade,2447.2,1114.52
2000,All Other Trade,All Other Trade,1598.16,1957.28
2000,All Other Trade,All Other Trade,2303.67,1244.67
2000,All Other Trade,All Other Trade,705.72,2833.33
2000,All Other Trade,All Other Trade,1782.94,1747.87
2000,All Other Trade,All Other Trade,1578.45,1947.97
2000,All Other Trade,All Other Trade,1693.76,1823.55
2000,All Other Trade,All Other Trade,2694.25,819.57
2000,All Other Trade,All Other Trade,3171.12,325.26
2000,All Other Trade,All Other Trade,2308.16,1171.05
2000,All Other Trade,All Other Trade,2869.46,608.12
2000,All Other Trade,All Other Trade,1637.506,1830.01
2000,All Other Trade,All Other Trade,2504.36,945.08
2000,All Other Trade,All Other Trade,1006.53,2432.84
2000,All Other Trade,All Other Trade,2268.77,1130.58
2000,All Other Trade,All Other Trade,767.9,2629.56
2000,All Other Trade,All Other Trade,127.44,3263.74
2000,All Other Trade,All Other Trade,355.63,3019.5
2000,All Other Trade,All Other Trade,973.51,2392.63
2000,All Other Trade,All Other Trade,2787.34,546.22
2000,All Other Trade,All Other Trade,1990.6,1307.04
2000,All Other Trade,All Other Trade,1257.54,2010.89
2000,All Other Trade,All Other Trade,1993.6,1273.43
2000,All Other Trade,All Other Trade,1084,2173.62
2000,All Other Trade,All Other Trade,1246.33,1999.57
2000,All Other Trade,All Other Trade,1433.35,1801.78
2000,All Other Trade,All Other Trade,2244.11,986.24
2000,All Other Trade,All Other Trade,1501.1,1719.14
2000,All Other Trade,All Other Trade,2004.05,1206.24
2000,All Other Trade,All Other Trade,2286.1,891.83
2000,All Other Trade,All Other Trade,2132.03,1042.04
2000,All Other Trade,All Other Trade,2300.81,860.46
2000,All Other Trade,All Other Trade,2353.3,807.69
2000,All Other Trade,All Other Trade,1882.115,1273.453
2000,All Other Trade,All Other Trade,736.6,2392.76
2000,All Other Trade,All Other Trade,1356.05,1755.66
2000,All Other Trade,All Other Trade,2235.45,855.99
2000,All Other Trade,All Other Trade,2678.39,402.66
2000,All Other Trade,All Other Trade,1573.02,1492.72
2000,All Other Trade,All Other Trade,350.8233,2690.467
2000,All Other Trade,All Other Trade,1274.1,1758.53
2000,All Other Trade,All Other Trade,2024.06,986.3
2000,All Other Trade,All Other Trade,996.9,2002.5
2000,All Other Trade,All Other Trade,2588.6,403.47
2000,All Other Trade,All Other Trade,270.76,2715.99
2000,All Other Trade,All Other Trade,1239.96,1739.14
2000,All Other Trade,All Other Trade,2300.2,653.08
2000,All Other Trade,All Other Trade,1159.61,1787.36
2000,All Other Trade,All Other Trade,912.53,2031.47
2000,All Other Trade,All Other Trade,1543.82,1361.22
2000,All Other Trade,All Other Trade,1263.37,1638.54
2000,All Other Trade,All Other Trade,1076.48,1803.39
2000,All Other Trade,All Other Trade,1484.422,1391.379
2000,All Other Trade,All Other Trade,821.57,2054.1
2000,All Other Trade,All Other Trade,1829.75,1040.64
2000,All Other Trade,All Other Trade,1099.02,1756.74
2000,All Other Trade,All Other Trade,1437.45,1400.8
2000,All Other Trade,All Other Trade,1650.5,1178.64
2000,All Other Trade,All Other Trade,1562.15,1263.4
2000,All Other Trade,All Other Trade,663.7,2148.64
2000,All Other Trade,All Other Trade,1983.2,829.13
2000,All Other Trade,All Other Trade,1406.55,1369.17
2000,All Other Trade,All Other Trade,1012.12,1748.4
2000,All Other Trade,All Other Trade,1681.7,1077.8
2000,All Other Trade,All Other Trade,2528.5,213.94
2000,All Other Trade,All Other Trade,1242.39,1463.09
2000,All Other Trade,All Other Trade,654.52,2023.71
2000,All Other Trade,All Other Trade,2286.64,366.39
2000,All Other Trade,All Other Trade,1048.98,1567.4
2000,All Other Trade,All Other Trade,1030.68,1584.46
2000,All Other Trade,All Other Trade,1587.51,1026.83
2000,All Other Trade,All Other Trade,2075.97,529.75
2000,All Other Trade,All Other Trade,1090.5,1497.34
2000,All Other Trade,All Other Trade,1423.15,1158.85
2000,All Other Trade,All Other Trade,842.64,1720.7
2000,All Other Trade,All Other Trade,1481.53,1075.76
2000,All Other Trade,All Other Trade,2275.82,279.47
2000,All Other Trade,All Other Trade,1771.13,770.95
2000,All Other Trade,All Other Trade,2202.33,313.03
2000,All Other Trade,All Other Trade,1572.41,935.31
2000,All Other Trade,All Other Trade,1304.74,1202.67
2000,All Other Trade,All Other Trade,2394.68,104.72
2000,All Other Trade,All Other Trade,818.78,1678.16
2000,All Other Trade,All Other Trade,2407.94,75.81
2000,All Other Trade,All Other Trade,168.76,2276.43
2000,All Other Trade,All Other Trade,443.54,1983.19
2000,All Other Trade,All Other Trade,1788.03,637.23
2000,All Other Trade,All Other Trade,757.84,1660.62
2000,All Other Trade,All Other Trade,358.53,2058.26
2000,All Other Trade,All Other Trade,1299.3,1109.06
2000,All Other Trade,All Other Trade,1071.63,1332.41
2000,All Other Trade,All Other Trade,999.01,1398.55
2000,All Other Trade,All Other Trade,574.1,1813.23
2000,All Other Trade,All Other Trade,2227.93,150.79
2000,All Other Trade,All Other Trade,2123,254.91
2000,All Other Trade,All Other Trade,1224.52,1148.95
2000,All Other Trade,All Other Trade,1406.14,948.64
2000,All Other Trade,All Other Trade,1170.65,1183.23
2000,All Other Trade,All Other Trade,1143.52,1208.94
2000,All Other Trade,All Other Trade,2034.29,317.57
2000,All Other Trade,All Other Trade,1764.43,557.33
2000,All Other Trade,All Other Trade,1604.71,709.87
2000,All Other Trade,All Other Trade,868.52,1436.7
2000,All Other Trade,All Other Trade,1105.43,1194.2
2000,All Other Trade,All Other Trade,335.65,1958.68
2000,All Other Trade,All Other Trade,811.03,1470.2
2000,All Other Trade,All Other Trade,1500.89,770.7
2000,All Other Trade,All Other Trade,2187.1,71.06
2000,All Other Trade,All Other Trade,969.02,1272.17
2000,All Other Trade,All Other Trade,1221.79,1018.2
2000,All Other Trade,All Other Trade,669.2,1561.22
2000,All Other Trade,All Other Trade,463.3,1765.84
2000,All Other Trade,All Other Trade,1499.81,726.35
2000,All Other Trade,All Other Trade,1839.37,379.17
2000,All Other Trade,All Other Trade,875.49,1341.69
2000,All Other Trade,All Other Trade,298.02,1918.3
2000,All Other Trade,All Other Trade,690.01,1511.34
2000,All Other Trade,All Other Trade,665.93,1526.06
2000,All Other Trade,All Other Trade,1245.38,945.92
2000,All Other Trade,All Other Trade,724.88,1462.01
2000,All Other Trade,All Other Trade,1802.56,367.61
2000,All Other Trade,All Other Trade,0,2170.1
2000,All Other Trade,All Other Trade,1613.28,553
2000,All Other Trade,All Other Trade,1204.23,949.8
2000,All Other Trade,All Other Trade,1283.66,869.14
2000,All Other Trade,All Other Trade,1200.38,949.67
2000,All Other Trade,All Other Trade,468.8466,1663.392
2000,All Other Trade,All Other Trade,174.16,1952.25
2000,All Other Trade,All Other Trade,627.07,1495.53
2000,All Other Trade,All Other Trade,252.23,1864.3
2000,All Other Trade,All Other Trade,1261.83,853.21
2000,All Other Trade,All Other Trade,1388.6,725.03
2000,All Other Trade,All Other Trade,724.09,1388.91
2000,All Other Trade,All Other Trade,1133.68,977.76
2000,All Other Trade,All Other Trade,437.65,1663.83
2000,All Other Trade,All Other Trade,1701,399.33
2000,All Other Trade,All Other Trade,937.55,1151.62
2000,All Other Trade,All Other Trade,1186.7,898.95
2000,All Other Trade,All Other Trade,1065.3,1017.2
2000,All Other Trade,All Other Trade,322.44,1753.55
2000,All Other Trade,All Other Trade,750.76,1311.16
2000,All Other Trade,All Other Trade,836.32,1219.95
2000,All Other Trade,All Other Trade,453.94,1598.21
2000,All Other Trade,All Other Trade,953.7,1087.52
2000,All Other Trade,All Other Trade,525.79,1504.21
2000,All Other Trade,All Other Trade,502.1,1506.39
2000,All Other Trade,All Other Trade,1142.55,865.09
2000,All Other Trade,All Other Trade,868.06,1138.06
2000,All Other Trade,All Other Trade,1574.95,429.64
2000,All Other Trade,All Other Trade,267.56,1725.72
2000,All Other Trade,All Other Trade,1107.05,870.89
2000,All Other Trade,All Other Trade,1098.35,878.75
2000,All Other Trade,All Other Trade,984.71,988.68
2000,All Other Trade,All Other Trade,903.56,1067.79
2000,All Other Trade,All Other Trade,1479.63,481.02
